stage,study,job_name,instance_id,topology,p,n,rep,method,penalty_constant,penalty_rate,lambda,status,fit_available,certified,runtime_seconds,UB,LB,gap,TP,FP,FN,TPR,FPR,F1,exact_recovery,shd,error_message
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=1000_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,1000,1000,0,sm_l1,0.1,sqrt(log(p)/n),0.00831129068134555,converged,1.0,,3.0354667941574007,,,,2001,905,0,1.0,0.0018190991338676058,0.8155695944568983,0.0,905,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=1000_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,1000,1000,0,sm_l1,0.2,sqrt(log(p)/n),0.0166225813626911,converged,1.0,,0.6688088800292462,,,,2001,905,0,1.0,0.0018190991338676058,0.8155695944568983,0.0,905,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=1000_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,1000,1000,0,sm_l1,0.5,sqrt(log(p)/n),0.04155645340672775,converged,1.0,,0.6169612009543926,,,,2001,905,0,1.0,0.0018190991338676058,0.8155695944568983,0.0,905,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=1000_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,1000,1000,0,sm_l1,1.0,sqrt(log(p)/n),0.0831129068134555,converged,1.0,,0.6278146288823336,,,,2001,893,0,1.0,0.0017949784823688088,0.8175689479060265,0.0,893,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=1000_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,1000,1000,0,sm_l1,1.2,sqrt(log(p)/n),0.0997354881761466,converged,1.0,,0.6240513899829239,,,,2001,718,0,1.0,0.001443218981344686,0.8478813559322034,0.0,718,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=1000_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,1000,1000,0,sm_l1,1.4,sqrt(log(p)/n),0.11635806953883769,converged,1.0,,0.6105425881687552,,,,1995,161,6,0.9970014992503748,0.00032361874094219287,0.9598267981717585,0.0,167,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=1000_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,1000,1000,0,sm_l1,1.6,sqrt(log(p)/n),0.1329806509015288,converged,1.0,,0.5008627879433334,,,,1977,29,24,0.9880059970014993,5.829157445542604e-05,0.9867731469927626,0.0,53,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=1000_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,1000,1000,0,sm_l1,1.8,sqrt(log(p)/n),0.1496032322642199,converged,1.0,,0.5049755019135773,,,,1912,5,89,0.9555222388805598,1.0050271457832075e-05,0.9760081674323634,0.0,94,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=1000_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,1000,1000,0,sm_l1,2.0,sqrt(log(p)/n),0.166225813626911,converged,1.0,,0.6273928270675242,,,,1787,0,214,0.8930534732633684,0.0,0.9435058078141499,0.0,214,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=1000_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,1000,1000,0,sm_l1,2.2,sqrt(log(p)/n),0.18284839498960212,converged,1.0,,0.38613197510130703,,,,1533,0,468,0.7661169415292354,0.0,0.867572156196944,0.0,468,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=1000_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,1000,1000,0,sm_l1,2.5,sqrt(log(p)/n),0.20778226703363875,converged,1.0,,0.5074303660076112,,,,1016,0,985,0.5077461269365318,0.0,0.6735167384819357,0.0,985,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=1000_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,1000,1000,0,sm_l1,3.0,sqrt(log(p)/n),0.24933872044036648,converged,1.0,,0.46330102905631065,,,,231,0,1770,0.11544227886056972,0.0,0.20698924731182797,0.0,1770,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=1000_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,1000,1000,0,sm_l1,5.0,sqrt(log(p)/n),0.4155645340672775,converged,1.0,,0.07878752192482352,,,,0,0,2001,0.0,0.0,0.0,0.0,2001,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=1000_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,1000,1000,0,sm_l1,10.0,sqrt(log(p)/n),0.831129068134555,converged,1.0,,0.08743467391468585,,,,0,0,2001,0.0,0.0,0.0,0.0,2001,
