stage,study,job_name,instance_id,topology,p,n,rep,method,penalty_constant,penalty_rate,lambda,status,fit_available,certified,runtime_seconds,UB,LB,gap,TP,FP,FN,TPR,FPR,F1,exact_recovery,shd,error_message
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,100,8,sm_l0_core,0.1,log(p)/n,0.002302585092994046,OPTIMAL,1.0,1.0,0.4791998863220215,-3.1276098901081584,-3.1437886778713886,0.005172891866853234,19,18,0,1.0,0.6923076923076923,0.6785714285714285,0.0,18,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,100,8,sm_l0_core,0.2,log(p)/n,0.004605170185988092,OPTIMAL,1.0,1.0,0.5400269031524658,-3.043218191074758,-3.0661422806774463,0.0075328445623519735,19,17,0,1.0,0.6538461538461539,0.6909090909090909,0.0,17,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,100,8,sm_l0_core,0.5,log(p)/n,0.01151292546497023,OPTIMAL,1.0,1.0,0.7204358577728271,-2.8231176873397725,-2.8399326364674553,0.005956163004854228,19,11,0,1.0,0.4230769230769231,0.7755102040816326,0.0,11,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,100,8,sm_l0_core,1.0,log(p)/n,0.02302585092994046,OPTIMAL,1.0,1.0,0.9345240592956543,-2.5137434945648383,-2.5341217815707595,0.008106748779254028,18,7,1,0.9473684210526315,0.2692307692307692,0.8181818181818181,0.0,8,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,100,8,sm_l0_core,1.2,log(p)/n,0.02763102111592855,OPTIMAL,1.0,1.0,1.1703782081604004,-2.399001291321815,-2.399001291321815,0.0,18,6,1,0.9473684210526315,0.23076923076923078,0.8372093023255814,0.0,7,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,100,8,sm_l0_core,1.4,log(p)/n,0.03223619130191664,OPTIMAL,1.0,1.0,4.121565103530884,-2.2884772068580994,-2.2884772068580994,0.0,18,6,1,0.9473684210526315,0.23076923076923078,0.8372093023255814,0.0,7,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,100,8,sm_l0_core,1.6,log(p)/n,0.036841361487904734,OPTIMAL,1.0,1.0,1.4274487495422363,-2.1779531223943853,-2.1779531223943853,0.0,18,6,1,0.9473684210526315,0.23076923076923078,0.8372093023255814,0.0,7,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,100,8,sm_l0_core,1.8,log(p)/n,0.041446531673892825,OPTIMAL,1.0,1.0,6.0730626583099365,-2.067429037930671,-2.067429037930671,0.0,18,6,1,0.9473684210526315,0.23076923076923078,0.8372093023255814,0.0,7,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,100,8,sm_l0_core,2.0,log(p)/n,0.04605170185988092,OPTIMAL,1.0,1.0,3.446436882019043,-1.9752928313490825,-1.9831847233140716,0.003995302286192716,16,3,3,0.8421052631578947,0.11538461538461539,0.8421052631578947,0.0,6,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,100,8,sm_l0_core,2.2,log(p)/n,0.050656872045869016,OPTIMAL,1.0,1.0,3.1571998596191406,-1.8877945978153088,-1.8877945978153088,0.0,16,3,3,0.8421052631578947,0.11538461538461539,0.8421052631578947,0.0,6,
