stage,study,job_name,instance_id,topology,p,n,rep,method,penalty_constant,penalty_rate,lambda,status,fit_available,certified,runtime_seconds,UB,LB,gap,TP,FP,FN,TPR,FPR,F1,exact_recovery,shd,error_message
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=006,erdos_renyi,10,100,6,sm_l1,0.1,sqrt(log(p)/n),0.015174271293851464,converged,1.0,,1.9910110980272293,,,,17,25,0,1.0,0.8928571428571429,0.576271186440678,0.0,25,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=006,erdos_renyi,10,100,6,sm_l1,0.2,sqrt(log(p)/n),0.030348542587702927,converged,1.0,,0.0002603502944111824,,,,17,24,0,1.0,0.8571428571428571,0.5862068965517241,0.0,24,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=006,erdos_renyi,10,100,6,sm_l1,0.5,sqrt(log(p)/n),0.07587135646925731,converged,1.0,,0.00024751899763941765,,,,17,20,0,1.0,0.7142857142857143,0.6296296296296297,0.0,20,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=006,erdos_renyi,10,100,6,sm_l1,1.0,sqrt(log(p)/n),0.15174271293851463,converged,1.0,,0.0002238750457763672,,,,17,10,0,1.0,0.35714285714285715,0.7727272727272727,0.0,10,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=006,erdos_renyi,10,100,6,sm_l1,1.2,sqrt(log(p)/n),0.18209125552621755,converged,1.0,,0.00020897714421153069,,,,16,8,1,0.9411764705882353,0.2857142857142857,0.7804878048780487,0.0,9,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=006,erdos_renyi,10,100,6,sm_l1,1.4,sqrt(log(p)/n),0.21243979811392047,converged,1.0,,0.0002179243601858616,,,,15,6,2,0.8823529411764706,0.21428571428571427,0.7894736842105262,0.0,8,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=006,erdos_renyi,10,100,6,sm_l1,1.6,sqrt(log(p)/n),0.24278834070162342,converged,1.0,,0.00020943721756339073,,,,14,6,3,0.8235294117647058,0.21428571428571427,0.7567567567567567,0.0,9,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=006,erdos_renyi,10,100,6,sm_l1,1.8,sqrt(log(p)/n),0.27313688328932634,converged,1.0,,0.00020474568009376526,,,,14,3,3,0.8235294117647058,0.10714285714285714,0.8235294117647058,0.0,6,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=006,erdos_renyi,10,100,6,sm_l1,2.0,sqrt(log(p)/n),0.30348542587702926,converged,1.0,,0.00020573008805513382,,,,13,2,4,0.7647058823529411,0.07142857142857142,0.8125,0.0,6,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=006,erdos_renyi,10,100,6,sm_l1,2.2,sqrt(log(p)/n),0.33383396846473223,converged,1.0,,0.0002054707147181034,,,,13,2,4,0.7647058823529411,0.07142857142857142,0.8125,0.0,6,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=006,erdos_renyi,10,100,6,sm_l1,2.5,sqrt(log(p)/n),0.37935678234628656,converged,1.0,,0.00020268606022000313,,,,9,1,8,0.5294117647058824,0.03571428571428571,0.6666666666666667,0.0,9,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=006,erdos_renyi,10,100,6,sm_l1,3.0,sqrt(log(p)/n),0.4552281388155439,converged,1.0,,0.00019823573529720306,,,,5,0,12,0.29411764705882354,0.0,0.45454545454545453,0.0,12,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=006,erdos_renyi,10,100,6,sm_l1,5.0,sqrt(log(p)/n),0.7587135646925731,converged,1.0,,0.0001802346669137478,,,,0,0,17,0.0,0.0,0.0,0.0,17,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0100_degree=04_signal=0.200_kappa=10.0_graph=random_rep=006,erdos_renyi,10,100,6,sm_l1,10.0,sqrt(log(p)/n),1.5174271293851462,converged,1.0,,0.00017251493409276009,,,,0,0,17,0.0,0.0,0.0,0.0,17,
