stage,study,job_name,instance_id,topology,p,n,rep,method,penalty_constant,penalty_rate,lambda,status,fit_available,certified,runtime_seconds,UB,LB,gap,TP,FP,FN,TPR,FPR,F1,exact_recovery,shd,error_message
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=020_n=0400_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,20,400,0,sm_l0,0.1,log(p)/n,0.0007489330683884978,OPTIMAL,1.0,1.0,0.6846609115600586,-4.960414974909275,-4.965093372991679,0.0009431465121502731,42,110,0,1.0,0.7432432432432432,0.4329896907216495,0.0,110,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=020_n=0400_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,20,400,0,sm_l0,0.2,log(p)/n,0.0014978661367769956,OPTIMAL,1.0,1.0,3.2773399353027344,-4.857638352108437,-4.862378926499155,0.0009759010546061833,42,87,0,1.0,0.5878378378378378,0.49122807017543857,0.0,87,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=020_n=0400_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,20,400,0,sm_l0,0.5,log(p)/n,0.0037446653419424885,OPTIMAL,1.0,1.0,48.206581830978394,-4.620806175779016,-4.62542530293157,0.0009996366384650312,42,42,0,1.0,0.28378378378378377,0.6666666666666666,0.0,42,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=020_n=0400_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,20,400,0,sm_l0,1.0,log(p)/n,0.007489330683884977,OPTIMAL,1.0,1.0,5.740787982940674,-4.341175906564128,-4.34538969943547,0.0009706570205944476,42,24,0,1.0,0.16216216216216217,0.7777777777777778,0.0,24,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=020_n=0400_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,20,400,0,sm_l0,1.2,log(p)/n,0.008987196820661972,OPTIMAL,1.0,1.0,4.560657024383545,-4.245249143638254,-4.249429600494108,0.000984737694869801,42,22,0,1.0,0.14864864864864866,0.7924528301886793,0.0,22,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=020_n=0400_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,20,400,0,sm_l0,1.4,log(p)/n,0.010485062957438967,OPTIMAL,1.0,1.0,7.289245128631592,-4.151957224838939,-4.156102247242779,0.0009983297465211126,42,13,0,1.0,0.08783783783783784,0.865979381443299,0.0,13,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=020_n=0400_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,20,400,0,sm_l0,1.6,log(p)/n,0.011982929094215965,OPTIMAL,1.0,1.0,3.898922920227051,-4.069574641877554,-4.073376706938937,0.0009342659604417818,42,13,0,1.0,0.08783783783783784,0.865979381443299,0.0,13,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=020_n=0400_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,20,400,0,sm_l0,1.8,log(p)/n,0.01348079523099296,OPTIMAL,1.0,1.0,3.027519941329956,-3.9915340439745073,-3.995208718623342,0.0009206171382608961,42,10,0,1.0,0.06756756756756757,0.8936170212765957,0.0,10,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=020_n=0400_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,20,400,0,sm_l0,2.0,log(p)/n,0.014978661367769954,OPTIMAL,1.0,1.0,2.3875391483306885,-3.9146701136484823,-3.91847821867464,0.0009727780159254954,41,9,1,0.9761904761904762,0.060810810810810814,0.8913043478260869,0.0,10,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=020_n=0400_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,20,400,0,sm_l0,2.2,log(p)/n,0.01647652750454695,OPTIMAL,1.0,1.0,2.342068910598755,-3.8423690113654727,-3.845288198610647,0.000759736307611166,40,7,2,0.9523809523809523,0.0472972972972973,0.898876404494382,0.0,9,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=020_n=0400_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,20,400,0,sm_l0,2.5,log(p)/n,0.018723326709712444,OPTIMAL,1.0,1.0,1.5190517902374268,-3.737719429562098,-3.7401440733505757,0.0006486960389002997,40,6,2,0.9523809523809523,0.04054054054054054,0.909090909090909,0.0,8,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=020_n=0400_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,20,400,0,sm_l0,3.0,log(p)/n,0.02246799205165493,OPTIMAL,1.0,1.0,1.1525487899780273,-3.566897949148008,-3.5669182727250903,5.697829702978496e-06,40,5,2,0.9523809523809523,0.033783783783783786,0.9195402298850575,0.0,7,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=020_n=0400_degree=04_signal=0.200_kappa=10.0_graph=random_rep=000,erdos_renyi,20,400,0,sm_l0,5.0,log(p)/n,0.03744665341942489,OPTIMAL,1.0,1.0,1.5219497680664062,-2.932159858841083,-2.933462856133068,0.00044438139621074747,39,1,3,0.9285714285714286,0.006756756756756757,0.951219512195122,0.0,4,
