method,penalty_constant,penalty_rate,replications,mean_FPR,se_FPR,mean_TPR,se_TPR,mean_precision,se_precision
sm_l0,0.1,log(p)/n,10,0.002205889293553802,4.735719268149306e-05,0.9992941709874243,0.0003017968062415533,0.7838785890602293,0.0037815938217608085
sm_l0,0.2,log(p)/n,10,0.0022042732364073838,4.72927046156977e-05,0.9992941709874243,0.0003017968062415533,0.7840021799201904,0.0037779818062496128
sm_l0,0.5,log(p)/n,10,0.0021978086944152227,4.630123142662424e-05,0.9992941709874243,0.0003017968062415533,0.7844907577403031,0.0037226188826728767
sm_l0,1.0,log(p)/n,10,0.001819653845655142,3.304496085396251e-05,0.9992941709874243,0.0003017968062415533,0.8146349266967438,0.003024862864135216
sm_l0,1.2,log(p)/n,10,0.0016612837658726072,3.20808479342062e-05,0.9992941709874243,0.0003017968062415533,0.8280045282676183,0.0029140862897580645
sm_l0,1.4,log(p)/n,10,0.0014746273137752764,2.6370073123555364e-05,0.9991911843756839,0.0003303080981123743,0.8442537532433108,0.002812470496353642
sm_l0,1.6,log(p)/n,10,0.0012403070514280638,2.8817508470360436e-05,0.99898404714727,0.0003015854427557679,0.8657087461610986,0.0027999230543995124
sm_l0,1.8,log(p)/n,10,0.0009373003758115298,2.6170788778600065e-05,0.99898404714727,0.0003015854427557679,0.8950789744145332,0.0026929690478763933
sm_l0,2.0,log(p)/n,10,0.0006270189805824689,1.8343873561792134e-05,0.9982762456488986,0.00043064918569080503,0.9271909976354141,0.002180505273898118
sm_l0,2.2,log(p)/n,10,0.00040238995591082214,1.4586669072095127e-05,0.9974724119807602,0.0005874005726607723,0.9519741391245718,0.0017990056202492654
sm_l0,2.5,log(p)/n,10,0.0001882643958769812,1.0768441718719657e-05,0.9960563533092861,0.0008341241052704824,0.9768747787442956,0.0014201235152907956
sm_l0,3.0,log(p)/n,10,4.524814534718475e-05,5.92530777938698e-06,0.9907811650142128,0.0018766240813969477,0.9943138137563243,0.0007396680999158069
sm_l0,5.0,log(p)/n,10,0.0,0.0,0.9018881857281098,0.010233550915218456,1.0,0.0
sm_l0,10.0,log(p)/n,10,0.0,0.0,0.2823836907656121,0.02056592368928521,1.0,0.0
sm_l0_core,0.1,log(p)/n,10,0.0022050812323350837,4.734854246535952e-05,0.9992941709874243,0.0003017968062415533,0.783940354549614,0.0037830836067052924
sm_l0_core,0.2,log(p)/n,10,0.0021986166184079364,4.8166607159763085e-05,0.9992941709874243,0.0003017968062415533,0.7844405087672824,0.003874339677876497
sm_l0_core,0.5,log(p)/n,10,0.0021469037026855915,4.1789729919623925e-05,0.9992941709874243,0.0003017968062415533,0.7884039393492847,0.0034116581610169334
sm_l0_core,1.0,log(p)/n,10,0.001839047817900959,3.5700664253882605e-05,0.9992941709874243,0.0003017968062415533,0.8130517993425377,0.003123847121459449
sm_l0_core,1.2,log(p)/n,10,0.0016766363746429085,3.062575887181042e-05,0.9992941709874243,0.0003017968062415533,0.826684015014511,0.0027742487485700844
sm_l0_core,1.4,log(p)/n,10,0.001502910181570221,2.10543972839255e-05,0.9991911843756839,0.0003303080981123743,0.8417358128084743,0.0022656649498052914
sm_l0_core,1.6,log(p)/n,10,0.001237074584615703,2.922038910788947e-05,0.99898404714727,0.0003015854427557679,0.8660109713939053,0.002862011407267901
sm_l0_core,1.8,log(p)/n,10,0.0009372993967270103,2.6414954173305968e-05,0.9988857187303575,0.0003484163128053208,0.8950617313879338,0.0027718609131492655
sm_l0_core,2.0,log(p)/n,10,0.0006245952016154454,1.8730320290581006e-05,0.9982732590371581,0.00048319080131226864,0.9274569074702856,0.00220469359470331
sm_l0_core,2.2,log(p)/n,10,0.0003991576718572247,1.3893000472386518e-05,0.9974724119807602,0.0005874005726607723,0.9523363523696184,0.0017374470019620224
sm_l0_core,2.5,log(p)/n,10,0.00018745575349311212,1.0884787600197532e-05,0.9960533666975456,0.0009031650013947534,0.9769646536183257,0.0014443010002249076
sm_l0_core,3.0,log(p)/n,10,4.686454189171616e-05,6.118367522661725e-06,0.9907811650142128,0.0018766240813969477,0.9941192713163263,0.0007576515536149829
sm_l0_core,5.0,log(p)/n,10,0.0,0.0,0.901691912780391,0.010055587652674659,1.0,0.0
sm_l0_core,10.0,log(p)/n,10,0.0,0.0,0.2826901126768485,0.020615358187979285,1.0,0.0
sm_l1,0.1,sqrt(log(p)/n),10,0.002206697178510984,4.7577270662504164e-05,0.9992941709874243,0.0003017968062415533,0.7838171786509112,0.003804691690530764
sm_l1,0.2,sqrt(log(p)/n),10,0.002206697178510984,4.7577270662504164e-05,0.9992941709874243,0.0003017968062415533,0.7838171786509112,0.003804691690530764
sm_l1,0.5,sqrt(log(p)/n),10,0.002205889293553802,4.735719268149306e-05,0.9992941709874243,0.0003017968062415533,0.7838785890602293,0.0037815938217608085
sm_l1,1.0,sqrt(log(p)/n),10,0.002156600698553047,4.4197622856463757e-05,0.9992941709874243,0.0003017968062415533,0.787668798222263,0.0035369355566577214
sm_l1,1.2,sqrt(log(p)/n),10,0.0018608644727105919,3.5698884646604624e-05,0.9992941709874243,0.0003017968062415533,0.8112515155544594,0.003102473082054497
sm_l1,1.4,sqrt(log(p)/n),10,0.0006900475677661548,2.195414847925563e-05,0.9988840471472701,0.00027995901346719446,0.9205557108723653,0.0023698076580647774
sm_l1,1.6,sqrt(log(p)/n),10,0.00012928406536654686,1.4555785009972872e-05,0.9959557424229534,0.0008746659696326185,0.9840766041326979,0.0017399306573185347
sm_l1,1.8,sqrt(log(p)/n),10,1.939336500825883e-05,5.546280595712704e-06,0.986860920756998,0.002333942606819176,0.9975731856639376,0.000691590219249515
sm_l1,2.0,sqrt(log(p)/n),10,8.080612187179301e-07,8.080612187179301e-07,0.9600108810245136,0.005334361222633747,0.9998971193415638,0.00010288065843621075
sm_l1,2.2,sqrt(log(p)/n),10,0.0,0.0,0.9040033344208114,0.010085396437445616,1.0,0.0
sm_l1,2.5,sqrt(log(p)/n),10,0.0,0.0,0.7443299990110649,0.02128467582264814,1.0,0.0
sm_l1,3.0,sqrt(log(p)/n),10,0.0,0.0,0.32201722464146887,0.02259619638496449,1.0,0.0
sm_l1,5.0,sqrt(log(p)/n),10,0.0,0.0,0.0,0.0,1.0,0.0
