stage,study,job_name,instance_id,topology,p,n,rep,method,penalty_constant,penalty_rate,lambda,status,fit_available,certified,runtime_seconds,UB,LB,gap,TP,FP,FN,TPR,FPR,F1,exact_recovery,shd,error_message
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,500,1000,8,sm_l0_milp,0.1,log(p)/n,0.0006214608098422192,OPTIMAL,1.0,1.0,35.21534872055054,-306.65606277363224,-306.68569315180684,9.662413945643883e-05,968,287,2,0.9979381443298969,0.0023186298271126193,0.8701123595505619,0.0,289,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,500,1000,8,sm_l0_milp,0.2,log(p)/n,0.0012429216196844384,OPTIMAL,1.0,1.0,36.34350609779358,-305.87592905994114,-305.90632825580235,9.938407364918905e-05,968,286,2,0.9979381443298969,0.002310550977540798,0.8705035971223022,0.0,288,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,500,1000,8,sm_l0_milp,0.5,log(p)/n,0.0031073040492110957,OPTIMAL,1.0,1.0,48.435930252075195,-303.5466513560788,-303.5682264519612,7.107670529718464e-05,968,277,2,0.9979381443298969,0.0022378413313944093,0.874040632054176,0.0,279,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,500,1000,8,sm_l0_milp,1.0,log(p)/n,0.006214608098422191,OPTIMAL,1.0,1.0,259.5298490524292,-299.74152574986545,-299.7710575954179,9.852437188537466e-05,968,231,2,0.9979381443298969,0.0018662142510906447,0.892577224527432,0.0,233,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,500,1000,8,sm_l0_milp,1.2,log(p)/n,0.007457529718106629,OPTIMAL,1.0,1.0,252.63594794273376,-298.26303661884833,-298.2913598911505,9.496071864359121e-05,968,213,2,0.9979381443298969,0.0017207949587978672,0.900046490004649,0.0,215,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,500,1000,8,sm_l0_milp,1.4,log(p)/n,0.008700451337791067,OPTIMAL,1.0,1.0,285.73039388656616,-296.8091185451324,-296.83643665816254,9.203933209352643e-05,968,188,2,0.9979381443298969,0.0015188237195023428,0.9106302916274694,0.0,190,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,500,1000,8,sm_l0_milp,1.6,log(p)/n,0.009943372957475508,OPTIMAL,1.0,1.0,720.3208317756653,-295.3876753218615,-295.4171548093271,9.979931435353941e-05,968,163,2,0.9979381443298969,0.0013168524802068186,0.9214659685863874,0.0,165,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,500,1000,8,sm_l0_milp,1.8,log(p)/n,0.011186294577159944,OPTIMAL,1.0,1.0,275.69122219085693,-294.0039479143349,-294.0230537128228,6.498483650788332e-05,968,131,2,0.9979381443298969,0.0010583292939085475,0.9357177380376994,0.0,133,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,500,1000,8,sm_l0_milp,2.0,log(p)/n,0.012429216196844383,OPTIMAL,1.0,1.0,133.02588987350464,-292.66573061157993,-292.694911747718,9.970807336093013e-05,966,96,4,0.9958762886597938,0.0007755695588948134,0.9507874015748031,0.0,100,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,500,1000,8,sm_l0_milp,2.2,log(p)/n,0.013672137816528823,OPTIMAL,1.0,1.0,64.19919490814209,-291.3717163456417,-291.3884836867228,5.754622065381202e-05,966,59,4,0.9958762886597938,0.0004766521247374374,0.968421052631579,0.0,63,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,500,1000,8,sm_l0_milp,2.5,log(p)/n,0.015536520246055478,OPTIMAL,1.0,1.0,42.98676800727844,-289.49798452644956,-289.52654732317075,9.866319714768116e-05,964,25,6,0.9938144329896907,0.00020197123929552432,0.9841755997958141,0.0,31,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,500,1000,8,sm_l0_milp,3.0,log(p)/n,0.018643824295266575,OPTIMAL,1.0,1.0,26.93509316444397,-286.46103796689795,-286.47947048359686,6.434563258490428e-05,957,7,13,0.98659793814433,5.655194700274681e-05,0.9896587383660806,0.0,20,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,500,1000,8,sm_l0_milp,5.0,log(p)/n,0.031073040492110956,OPTIMAL,1.0,1.0,55.86236524581909,-274.79531569491166,-274.8218368058655,9.651223816076021e-05,900,0,70,0.9278350515463918,0.0,0.9625668449197862,0.0,70,
