stage,study,job_name,instance_id,topology,p,n,rep,method,penalty_constant,penalty_rate,lambda,status,fit_available,certified,runtime_seconds,UB,LB,gap,TP,FP,FN,TPR,FPR,F1,exact_recovery,shd,error_message
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=2000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=003,erdos_renyi,500,2000,3,sm_l0_core,0.1,log(p)/n,0.0003107304049211096,OPTIMAL,1.0,1.0,578.110732793808,-56.82267517384996,-56.82282234005234,2.5899203430936126e-06,1017,3206,0,1.0,0.025910630147171734,0.3881679389312977,0.0,3206,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=2000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=003,erdos_renyi,500,2000,3,sm_l0_core,0.2,log(p)/n,0.0006214608098422192,OPTIMAL,1.0,1.0,583.6755790710449,-55.51437720770346,-55.51542299666408,1.8838164331817907e-05,1017,3177,0,1.0,0.025676254515771865,0.3903281519861831,0.0,3177,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=2000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=003,erdos_renyi,500,2000,3,sm_l0_core,0.5,log(p)/n,0.0015536520246055478,TIME_LIMIT,0.0,0.0,625.1492030620575,nan,-51.69944681758096,nan,,,,,,,,,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=2000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=003,erdos_renyi,500,2000,3,sm_l0_core,1.0,log(p)/n,0.0031073040492110957,TIME_LIMIT,0.0,0.0,621.6130299568176,nan,-46.572518852770216,nan,,,,,,,,,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=2000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=003,erdos_renyi,500,2000,3,sm_l0_core,1.2,log(p)/n,0.0037287648590533145,TIME_LIMIT,1.0,0.0,619.4239671230316,-44.89478247477507,-45.09336838390032,0.004423362764633692,1017,1015,0,1.0,0.008203147098995417,0.667103968514267,0.0,1015,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=2000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=003,erdos_renyi,500,2000,3,sm_l0_core,1.4,log(p)/n,0.004350225668895534,OPTIMAL,1.0,1.0,584.3237419128418,-43.78393106914455,-43.82671537941611,0.0009771692314239926,1017,582,0,1.0,0.004703676464645648,0.7775229357798165,0.0,582,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=2000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=003,erdos_renyi,500,2000,3,sm_l0_core,1.6,log(p)/n,0.004971686478737754,OPTIMAL,1.0,1.0,24.799821138381958,-42.8787355958343,-42.909128925348945,0.0007088205632070399,1017,317,0,1.0,0.002561968108750293,0.8651637601020843,0.0,317,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=2000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=003,erdos_renyi,500,2000,3,sm_l0_core,1.8,log(p)/n,0.005593147288579972,OPTIMAL,1.0,1.0,21.023066997528076,-42.09795063320601,-42.11274802555833,0.0003514991140839322,1017,168,0,1.0,0.001357762278454414,0.9237057220708447,0.0,168,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=2000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=003,erdos_renyi,500,2000,3,sm_l0_core,2.0,log(p)/n,0.006214608098422191,OPTIMAL,1.0,1.0,20.192123889923096,-41.382624916345925,-41.4137731731991,0.0007526892485949622,1017,98,0,1.0,0.0007920279957650748,0.9540337711069419,0.0,98,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=2000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=003,erdos_renyi,500,2000,3,sm_l0_core,2.2,log(p)/n,0.006836068908264411,OPTIMAL,1.0,1.0,20.195235013961792,-40.706996469703085,-40.71518756634294,0.00020122085514099916,1017,46,0,1.0,0.0003717682429101372,0.9778846153846154,0.0,46,
