method,penalty_constant,penalty_rate,replications,mean_FPR,se_FPR,mean_TPR,se_TPR,mean_precision,se_precision
sm_l0_core,0.1,log(p)/n,3,0.011724219268919036,0.00012731828368147636,0.9022794558109074,0.0003830345736074615,0.2622084765426586,0.0023975637065493625
sm_l0_core,1.6,log(p)/n,9,0.0015233994213930573,2.2427368786467897e-05,0.8177821327513768,0.001559772978355834,0.7124097237755498,0.003053435028355048
sm_l0_core,1.8,log(p)/n,10,0.0007497886286388812,1.825076219927041e-05,0.790522639567276,0.0011959330473313133,0.8295604367503007,0.003426185030835767
sm_l0_core,2.0,log(p)/n,10,0.0003650392492434452,9.688189140159538e-06,0.7630530238737709,0.0015207262335305439,0.9060691774972065,0.0022818877390034034
sm_l0_core,2.2,log(p)/n,9,0.00017207255287506393,5.940823166414726e-06,0.734214798673425,0.0022402048130964257,0.9516664522895453,0.0016154378868195437
sm_l0_core,2.5,log(p)/n,7,5.89005932464298e-05,2.8004168541026056e-06,0.6934017796869673,0.0019731004403518017,0.9819282170791394,0.000842473797758858
sm_l0_core,3.0,log(p)/n,5,9.251680692881555e-06,2.5120317954674378e-06,0.6206070567912573,0.0014087779208768257,0.9967764082493771,0.0008738948289142618
sm_l0_core,5.0,log(p)/n,5,0.0,0.0,0.371378385183922,0.004038289772028023,1.0,0.0
sm_l0_core,10.0,log(p)/n,3,0.0,0.0,0.07325468518679125,0.002247668914309918,1.0,0.0
sm_l1,0.1,sqrt(log(p)/n),10,0.011665570416167417,6.0370771221306286e-05,0.9030225057828496,0.0009717489405627074,0.2631354256997338,0.0010182675951787884
sm_l1,0.2,sqrt(log(p)/n),10,0.011665570416167417,6.0370771221306286e-05,0.9030225057828496,0.0009717489405627074,0.2631354256997338,0.0010182675951787884
sm_l1,0.5,sqrt(log(p)/n),10,0.01166074345355858,6.05759874936137e-05,0.9030225057828496,0.0009717489405627074,0.2632159098798755,0.001020887502971724
sm_l1,1.0,sqrt(log(p)/n),10,0.008453425533631915,5.486865254355681e-05,0.8922087462072887,0.001260110911180018,0.32747285489543987,0.0014619640212259857
sm_l1,1.2,sqrt(log(p)/n),10,0.0018316323669296526,3.0370455327153517e-05,0.837089901398356,0.0012649230058372914,0.6784091738627518,0.003740100922896452
sm_l1,1.4,sqrt(log(p)/n),10,0.0002733269180113552,5.5641267162294855e-06,0.7719012830451575,0.0011477779500990496,0.9287177937169806,0.0013567390913179977
sm_l1,1.6,sqrt(log(p)/n),10,3.358761923567444e-05,3.043516518817758e-06,0.6959858851383119,0.0018401726824957003,0.9896560512397261,0.000921255416376032
sm_l1,1.8,sqrt(log(p)/n),10,4.424724152078226e-06,8.894050518442453e-07,0.6070752492268849,0.001971257587191774,0.9984275741330965,0.0003143108630872692
sm_l1,2.0,sqrt(log(p)/n),10,1.2067493491400787e-06,5.363330440728506e-07,0.507310535497651,0.002445186324478903,0.9994831031063842,0.0002290328798270635
sm_l1,2.2,sqrt(log(p)/n),10,0.0,0.0,0.3989074491106804,0.0025725822188212076,1.0,0.0
sm_l1,2.5,sqrt(log(p)/n),10,0.0,0.0,0.24912086158514923,0.0019064304749370359,1.0,0.0
sm_l1,3.0,sqrt(log(p)/n),10,0.0,0.0,0.08389872927372091,0.0017011232849243577,1.0,0.0
sm_l1,5.0,sqrt(log(p)/n),10,0.0,0.0,4.359197907585005e-05,4.359197907585004e-05,1.0,0.0
sm_l1,10.0,sqrt(log(p)/n),10,0.0,0.0,0.0,0.0,1.0,0.0
