stage,study,job_name,instance_id,topology,p,n,rep,method,penalty_constant,penalty_rate,lambda,status,fit_available,certified,runtime_seconds,UB,LB,gap,TP,FP,FN,TPR,FPR,F1,exact_recovery,shd,error_message
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=003,lattice_hubs,1000,1000,3,sm_l0_core,0.1,log(p)/n,0.0006907755278982137,TIME_LIMIT,0.0,0.0,686.6829011440277,nan,-114.02485143068066,nan,,,,,,,,,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=003,lattice_hubs,1000,1000,3,sm_l0_core,0.2,log(p)/n,0.0013815510557964273,TIME_LIMIT,0.0,0.0,691.871698141098,nan,-108.64653872972443,nan,,,,,,,,,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=003,lattice_hubs,1000,1000,3,sm_l0_core,0.5,log(p)/n,0.0034538776394910683,TIME_LIMIT,0.0,0.0,693.7562079429626,nan,-92.8804444444519,nan,,,,,,,,,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=003,lattice_hubs,1000,1000,3,sm_l0_core,1.0,log(p)/n,0.006907755278982137,TIME_LIMIT,0.0,0.0,683.2751340866089,nan,-88.56163257747373,nan,,,,,,,,,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=003,lattice_hubs,1000,1000,3,sm_l0_core,1.2,log(p)/n,0.008289306334778564,TIME_LIMIT,0.0,0.0,693.7756631374359,nan,-90.4380871406921,nan,,,,,,,,,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=003,lattice_hubs,1000,1000,3,sm_l0_core,1.4,log(p)/n,0.00967085739057499,TIME_LIMIT,0.0,0.0,683.8816928863525,nan,-65.4416056307901,nan,,,,,,,,,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=003,lattice_hubs,1000,1000,3,sm_l0_core,1.6,log(p)/n,0.011052408446371419,TIME_LIMIT,1.0,0.0,678.6222591400146,-50.97196748366632,-51.54285719783393,0.011200072164186161,1888,781,402,0.8244541484716157,0.0015707648679632348,0.7614438394837669,0.0,1183,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=003,lattice_hubs,1000,1000,3,sm_l0_core,1.8,log(p)/n,0.012433959502167847,TIME_LIMIT,1.0,0.0,681.5419158935547,-47.61582222838443,-47.82428117230717,0.0043779343538978225,1818,394,472,0.7938864628820961,0.0007924217131594296,0.8076410484229232,0.0,866,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=003,lattice_hubs,1000,1000,3,sm_l0_core,2.0,log(p)/n,0.013815510557964273,TIME_LIMIT,1.0,0.0,672.4485731124878,-44.758309432112924,-44.82703190772321,0.0015354126749251133,1762,179,528,0.7694323144104803,0.0003600088493795378,0.8329000236350744,0.0,707,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=003,lattice_hubs,1000,1000,3,sm_l0_core,2.2,log(p)/n,0.015197061613760702,OPTIMAL,1.0,1.0,87.9793758392334,-42.18600219243968,-42.226297953066066,0.0009551926831693705,1703,94,587,0.7436681222707423,0.00018905492648981317,0.8333741130413507,0.0,681,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=003,lattice_hubs,1000,1000,3,sm_l0_core,2.5,log(p)/n,0.01726938819745534,OPTIMAL,1.0,1.0,89.60900902748108,-38.6386900374999,-38.67459058488304,0.0009291346924106542,1600,35,690,0.6986899563318777,7.039279177812192e-05,0.8152866242038216,0.0,725,
