stage,study,job_name,instance_id,topology,p,n,rep,method,penalty_constant,penalty_rate,lambda,status,fit_available,certified,runtime_seconds,UB,LB,gap,TP,FP,FN,TPR,FPR,F1,exact_recovery,shd,error_message
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=005,lattice_hubs,1000,1000,5,sm_l1,0.1,sqrt(log(p)/n),0.00831129068134555,converged,1.0,,4.671432740986347,,,,2078,5798,215,0.9062363715656345,0.011661139123141871,0.4086930868325302,0.0,6013,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=005,lattice_hubs,1000,1000,5,sm_l1,0.2,sqrt(log(p)/n),0.0166225813626911,converged,1.0,,0.6770252280402929,,,,2078,5798,215,0.9062363715656345,0.011661139123141871,0.4086930868325302,0.0,6013,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=005,lattice_hubs,1000,1000,5,sm_l1,0.5,sqrt(log(p)/n),0.04155645340672775,converged,1.0,,0.47124097403138876,,,,2078,5797,215,0.9062363715656345,0.011659127888384515,0.4087332808811959,0.0,6012,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=005,lattice_hubs,1000,1000,5,sm_l1,1.0,sqrt(log(p)/n),0.0831129068134555,converged,1.0,,0.4507121751084924,,,,2050,4306,243,0.8940252943741823,0.008660376865168833,0.474043241993294,0.0,4549,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=005,lattice_hubs,1000,1000,5,sm_l1,1.2,sqrt(log(p)/n),0.0997354881761466,converged,1.0,,0.48996352893300354,,,,1917,894,376,0.8360226777147841,0.0017980438730749969,0.7511755485893418,0.0,1270,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=005,lattice_hubs,1000,1000,5,sm_l1,1.4,sqrt(log(p)/n),0.11635806953883769,converged,1.0,,0.3977520267944783,,,,1771,136,522,0.7723506323593545,0.00027352792700022325,0.8433333333333334,0.0,658,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=005,lattice_hubs,1000,1000,5,sm_l1,1.6,sqrt(log(p)/n),0.1329806509015288,converged,1.0,,0.4034204250201583,,,,1586,14,707,0.6916703009158308,2.8157286602964158e-05,0.8147957873105575,0.0,721,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=005,lattice_hubs,1000,1000,5,sm_l1,1.8,sqrt(log(p)/n),0.1496032322642199,converged,1.0,,0.38622315018437803,,,,1371,1,922,0.5979066724814653,2.011234757354583e-06,0.7481582537517053,0.0,923,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=005,lattice_hubs,1000,1000,5,sm_l1,2.0,sqrt(log(p)/n),0.166225813626911,converged,1.0,,0.36423823703080416,,,,1144,0,1149,0.4989097252507632,0.0,0.6656968286296189,0.0,1149,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=005,lattice_hubs,1000,1000,5,sm_l1,2.2,sqrt(log(p)/n),0.18284839498960212,converged,1.0,,0.3365810518153012,,,,895,0,1398,0.39031836022677713,0.0,0.5614805520702635,0.0,1398,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=005,lattice_hubs,1000,1000,5,sm_l1,2.5,sqrt(log(p)/n),0.20778226703363875,converged,1.0,,0.440055713057518,,,,568,0,1725,0.2477104230266027,0.0,0.39706396364907376,0.0,1725,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=005,lattice_hubs,1000,1000,5,sm_l1,3.0,sqrt(log(p)/n),0.24933872044036648,converged,1.0,,0.39645959297195077,,,,187,0,2106,0.08155255124291322,0.0,0.15080645161290324,0.0,2106,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=005,lattice_hubs,1000,1000,5,sm_l1,5.0,sqrt(log(p)/n),0.4155645340672775,converged,1.0,,0.076872882200405,,,,0,0,2293,0.0,0.0,0.0,0.0,2293,
evaluation,primary_graph_recovery,roc,topology=lattice_hubs_p=1000_n=1000_graph=random_rep=005,lattice_hubs,1000,1000,5,sm_l1,10.0,sqrt(log(p)/n),0.831129068134555,converged,1.0,,0.0741149669047445,,,,0,0,2293,0.0,0.0,0.0,0.0,2293,
