stage,study,job_name,instance_id,topology,p,n,rep,method,penalty_constant,penalty_rate,lambda,status,fit_available,certified,runtime_seconds,UB,LB,gap,TP,FP,FN,TPR,FPR,F1,exact_recovery,shd,error_message
evaluation,robustness_roc,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l1,0.1,sqrt(log(p)/n),0.007883278568224133,converged,1.0,,2.7575661223381758,,,,965,518,6,0.9938208032955715,0.004184877887202191,0.7864710676446617,0.0,524,
evaluation,robustness_roc,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l1,0.2,sqrt(log(p)/n),0.015766557136448266,converged,1.0,,0.045393966138362885,,,,965,511,6,0.9938208032955715,0.004128325483321081,0.7887208827135268,0.0,517,
evaluation,robustness_roc,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l1,0.5,sqrt(log(p)/n),0.03941639284112066,converged,1.0,,0.04358603525906801,,,,964,485,7,0.9927909371781668,0.0039182736974769546,0.796694214876033,0.0,492,
evaluation,robustness_roc,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l1,1.0,sqrt(log(p)/n),0.07883278568224132,converged,1.0,,0.04267317056655884,,,,948,422,23,0.976313079299691,0.003409302062546959,0.8099102947458351,0.0,445,
evaluation,robustness_roc,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l1,1.2,sqrt(log(p)/n),0.09459934281868958,converged,1.0,,0.04117417521774769,,,,933,376,38,0.96086508753862,0.0030376719798996597,0.818421052631579,0.0,414,
evaluation,robustness_roc,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l1,1.4,sqrt(log(p)/n),0.11036589995513785,converged,1.0,,0.04089312069118023,,,,903,316,68,0.9299691040164778,0.0025529370894901396,0.8246575342465754,0.0,384,
evaluation,robustness_roc,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l1,1.6,sqrt(log(p)/n),0.12613245709158613,converged,1.0,,0.04206517618149519,,,,860,254,111,0.8856848609680742,0.0020520443694003023,0.8249400479616308,0.0,365,
evaluation,robustness_roc,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l1,1.8,sqrt(log(p)/n),0.1418990142280344,converged,1.0,,0.040805249474942684,,,,803,199,168,0.8269824922760041,0.0016077040531915752,0.8139888494678155,0.0,367,
evaluation,robustness_roc,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l1,2.0,sqrt(log(p)/n),0.15766557136448264,converged,1.0,,0.041120066307485104,,,,736,142,235,0.7579814624098867,0.0011472059073025312,0.7961060032449973,0.0,377,
evaluation,robustness_roc,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l1,2.2,sqrt(log(p)/n),0.17343212850093093,converged,1.0,,0.038134521804749966,,,,678,102,293,0.698249227600412,0.0008240493136961844,0.7744146202170188,0.0,395,
evaluation,robustness_roc,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l1,2.5,sqrt(log(p)/n),0.1970819642056033,converged,1.0,,0.04023922048509121,,,,554,55,417,0.5705458290422245,0.00044434031620872684,0.7012658227848102,0.0,472,
evaluation,robustness_roc,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l1,3.0,sqrt(log(p)/n),0.23649835704672395,converged,1.0,,0.038100154139101505,,,,328,19,643,0.33779608650875387,0.00015349938196301474,0.4977238239757208,0.0,662,
evaluation,robustness_roc,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l1,5.0,sqrt(log(p)/n),0.3941639284112066,converged,1.0,,0.02588695101439953,,,,1,0,970,0.0010298661174047373,0.0,0.00205761316872428,0.0,970,
evaluation,robustness_roc,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l1,10.0,sqrt(log(p)/n),0.7883278568224132,converged,1.0,,0.011639905162155628,,,,0,0,971,0.0,0.0,0.0,0.0,971,
